state,x,y
Andhra Pradesh,-99.0,-192.0
Arunachal Pradesh,333.0,229.0
Assam,275.0,158.0
Bihar,86.0,133.0
Chhattisgarh,-7.0,15.0
Goa,-242.0,-191.0
Gujarat,-286.0,50.0
Haryana,-170.0,232.0
Himachal Pradesh,-140.0,316.0
Jharkhand,71.0,61.0
Karnataka,-193.0,-183.0
Kerala,-195.0,-334.0
Madhya Pradesh,-128.0,39.0
Maharashtra,-209.0,-72.0
Manipur,319.0,113.0
Meghalaya,242.0,129.0
Mizoram,290.0,64.0
Nagaland,336.0,156.0
Odisha,64.0,-23.0
Punjab,-193.0,277.0
Rajasthan,-250.0,143.0
Sikkim,163.0,187.0
Tamil Nadu,-116.0,-313.0
Telangana,-101.0,-110.0
Tripura,257.0,75.0
Uttarakhand,-90.0,258.0
Uttar Pradesh,-57.0,160.0
West Bengal,147.0,51.0
Andaman and Nicobar Islands,317.0,-258.0
Dadra and Nagar Haveli and Daman & Diu,-274.0,-16.0
Chandigarh ,-157.0,280.0
Delhi,-148.0,212.0
Jammu & Kashmir,-202.0,378.0
Ladakh,-117.0,392.0
Lakshadweep,-284.0,-323.0
Puducherry,-72.0,-297.0
